ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive
98,جزل,جَزَلَ,جزل,جزل,1,0,0,0,0
99,جلط,جَلَطَ,جلط,جلط,1,0,0,0,0
100,مسك,مَسَكَ,مسك,مسك,1,0,0,0,0
101,جرج,جَرِجَ,جرج,جرج,1,1,1,1,0
102,دلف,دَلَفَ,دلف,دلف,1,1,1,1,0
103,عجف,عَجِفَ,عجف,عجف,1,1,1,1,0
104,ملد,مَلِدَ,ملد,ملد,1,1,1,1,0
105,نهر,نَهِرَ,نهر,نهر,1,1,1,1,0
106,جرذ,جَرِذَ,جرذ,جرذ,1,1,1,1,0
107,جرع,جَرَعَ,جرع,جرع,1,0,0,0,0
108,جرح,جَرَحَ,جرح,جرح,1,0,0,0,0
109,سعر,سَعَرَ,سعر,سعر,1,0,0,0,0
110,تفه,تَفِهَ,تفه,تفه,1,1,1,1,0
111,رسل,رَسِلَ,رسل,رسل,1,1,1,1,0
112,هدل,هَدِلَ,هدل,هدل,1,1,1,1,0
113,نزل,نَزِلَ,نزل,نزل,1,1,1,1,0
114,خضم,خَضِمَ,خضم,خضم,1,0,0,0,0
115,شبم,شَبِمَ,شبم,شبم,1,1,1,1,0
116,تلف,تَلِفَ,تلف,تلف,1,1,1,1,0
117,حطب,حَطِبَ,حطب,حطب,1,1,1,1,0
118,ترف,تَرِفَ,ترف,ترف,1,1,1,1,0
119,كحل,كَحِلَ,كحل,كحل,1,1,1,1,0
120,بقر,بَقَرَ,بقر,بقر,1,0,0,0,0
121,هدف,هَدَفَ,هدف,هدف,1,1,1,1,0
122,بعر,بَعَرَ,بعر,بعر,1,1,1,1,0
123,بغت,بَغَتَ,بغت,بغت,1,0,0,0,0
124,بخل,بَخِلَ,بخل,بخل,1,1,1,1,0
125,محل,مَحَلَ,محل,محل,1,1,1,1,0
126,عكس,عَكَسَ,عكس,عكس,1,0,0,0,0
127,ردف,رَدِفَ,ردف,ردف,1,0,0,0,0
128,قصف,قَصَفَ,قصف,قصف,1,1,1,1,0
129,خطر,خَطَرَ,خطر,خطر,1,1,1,1,0
130,جنح,جَنَحَ,جنح,جنح,1,0,0,0,0
131,تبع,تَبِعَ,تبع,تبع,1,0,0,0,0
132,شنج,شَنِجَ,شنج,شنج,1,1,1,1,0
133,حسف,حَسِفَ,حسف,حسف,1,1,1,1,0
134,عتب,عَتَبَ,عتب,عتب,1,1,1,1,0
135,بحث,بَحَثَ,بحث,بحث,1,0,0,0,0
136,عشق,عَشِقَ,عشق,عشق,1,0,0,0,0
137,نعب,نَعَبَ,نعب,نعب,1,1,1,1,0
138,صرد,صَرِدَ,صرد,صرد,1,1,1,1,0
139,خزق,خَزَقَ,خزق,خزق,1,0,0,0,0
140,زلع,زَلَعَ,زلع,زلع,1,1,1,1,0
141,شنع,شَنَعَ,شنع,شنع,1,0,0,0,0
142,شنع,شَنِعَ,شنع,شنع,1,1,1,1,0
143,ربع,رَبَعَ,ربع,ربع,1,1,1,1,0
144,نصع,نَصَعَ,نصع,نصع,1,1,1,1,0
145,عتق,عَتَقَ,عتق,عتق,1,0,0,0,0
146,صرف,صَرَفَ,صرف,صرف,1,0,0,0,0
147,هزج,هَزِجَ,هزج,هزج,1,1,1,1,0
148,نتن,نَتَنَ,نتن,نتن,1,1,1,1,0
149,صعق,صَعَقَ,صعق,صعق,1,0,0,0,0
150,صعق,صَعِقَ,صعق,صعق,1,1,1,1,0
151,حدر,حَدِرَ,حدر,حدر,1,1,1,1,0
152,صدف,صَدَفَ,صدف,صدف,1,0,0,0,0
153,شهق,شَهَقَ,شهق,شهق,1,1,1,1,0
154,معن,مَعَنَ,معن,معن,1,0,0,0,0
155,شهب,شَهِبَ,شهب,شهب,1,1,1,1,0
156,فخر,فَخِرَ,فخر,فخر,1,1,1,1,0
157,زمر,زَمَرَ,زمر,زمر,1,1,1,1,0
158,شكر,شَكِرَ,شكر,شكر,1,1,1,1,0
159,شكس,شَكِسَ,شكس,شكس,1,1,1,1,0
160,شكل,شَكِلَ,شكل,شكل,1,1,1,1,0
161,حمل,حَمَلَ,حمل,حمل,1,1,1,1,0
162,شمت,شَمِتَ,شمت,شمت,1,1,1,1,0
163,كبت,كَبَتَ,كبت,كبت,1,0,0,0,0
164,شمس,شَمِسَ,شمس,شمس,1,1,1,1,0
165,نزف,نَزَفَ,نزف,نزف,1,1,1,1,0
166,شرب,شَرِبَ,شرب,شرب,1,1,1,1,0
167,زعق,زَعَقَ,زعق,زعق,1,0,0,0,0
168,نشط,نَشَطَ,نشط,نشط,1,1,1,1,0
169,ذبح,ذَبَحَ,ذبح,ذبح,1,0,0,0,0
170,شعف,شَعِفَ,شعف,شعف,1,1,1,1,0
171,سوق,سَوِقَ,سوق,سوق,1,1,1,1,0
172,جشم,جَشِمَ,جشم,جشم,1,0,0,0,0
173,شبر,شَبِرَ,شبر,شبر,1,1,1,1,0
174,ظلف,ظَلِفَ,ظلف,ظلف,1,1,1,1,0
175,طفر,طَفَرَ,طفر,طفر,1,0,0,0,0
176,شبق,شَبِقَ,شبق,شبق,1,1,1,1,0
177,سيس,سَيِسَ,سيس,سيس,1,1,1,1,0
178,صرم,صَرَمَ,صرم,صرم,1,0,0,0,0
179,لزج,لَزِجَ,لزج,لزج,1,1,1,1,0
180,غلق,غَلَقَ,غلق,غلق,1,0,0,0,0
181,بشع,بَشِعَ,بشع,بشع,1,1,1,1,0
182,شوه,شَوِهَ,شوه,شوه,1,1,1,1,0
183,لمس,لَمَسَ,لمس,لمس,1,0,0,0,0
184,شبك,شَبَكَ,شبك,شبك,1,0,0,0,0
185,هجع,هَجَعَ,هجع,هجع,1,1,1,1,0
186,شبع,شَبِعَ,شبع,شبع,1,1,1,1,0
187,شخب,شَخَبَ,شخب,شخب,1,0,0,0,0
188,عدل,عَدَلَ,عدل,عدل,1,1,1,1,0
189,قضب,قَضَبَ,قضب,قضب,1,0,0,0,0
190,صدع,صَدَعَ,صدع,صدع,1,0,0,0,0
191,صخب,صَخِبَ,صخب,صخب,1,1,1,1,0
192,حدج,حَدَجَ,حدج,حدج,1,0,0,0,0
193,قرس,قَرَسَ,قرس,قرس,1,0,0,0,0
194,رثم,رَثِمَ,رثم,رثم,1,1,1,1,0
195,علق,عَلَقَ,علق,علق,1,1,1,1,0
196,نذر,نَذِرَ,نذر,نذر,1,1,1,1,0
197,كتف,كَتَفَ,كتف,كتف,1,0,0,0,0
198,جهز,جَهَزَ,جهز,جهز,1,1,1,1,0
199,خفر,خَفِرَ,خفر,خفر,1,1,1,1,0
200,حبر,حَبِرَ,حبر,حبر,1,1,1,1,0
201,رضع,رَضِعَ,رضع,رضع,1,0,0,0,0
202,جهش,جَهَشَ,جهش,جهش,1,1,1,1,0
203,جهد,جَهَدَ,جهد,جهد,1,0,0,0,0
204,قضم,قَضِمَ,قضم,قضم,1,1,1,1,0
205,خصب,خَصَبَ,خصب,خصب,1,1,1,1,0
206,حنث,حَنِثَ,حنث,حنث,1,1,1,1,0
207,قلق,قَلَقَ,قلق,قلق,1,0,0,0,0
208,حور,حَوِرَ,حور,حور,1,1,1,1,0
209,شنب,شَنِبَ,شنب,شنب,1,1,1,1,0
210,حمر,حَمِرَ,حمر,حمر,1,1,1,1,0
211,حمس,حَمِسَ,حمس,حمس,1,1,1,1,0
212,خبز,خَبَزَ,خبز,خبز,1,0,0,0,0
213,ظرب,ظَرِبَ,ظرب,ظرب,1,1,1,1,0
214,حبط,حَبَطَ,حبط,حبط,1,1,1,1,0
215,هزع,هَزَعَ,هزع,هزع,1,0,0,0,0
216,حنط,حَنَطَ,حنط,حنط,1,1,1,1,0
217,حنف,حَنِفَ,حنف,حنف,1,1,1,1,0
218,حبط,حَبِطَ,حبط,حبط,1,1,1,1,0
219,بذخ,بَذِخَ,بذخ,بذخ,1,1,1,1,0
220,كرز,كَرَزَ,كرز,كرز,1,1,1,1,0
