ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
67,عقل,عَقَلَ,عقل,1,عَقَلَ,يَعْقِلُ,اِعْقِلْ
68,حشك,حَشَكَ,حشك,1,حَشَكَ,يَحْشِكُ,اِحْشِكْ
69,حفز,حَفَزَ,حفز,1,حَفَزَ,يَحْفِزُ,اِحْفِزْ
70,حفص,حَفَصَ,حفص,1,حَفَصَ,يَحْفِصُ,اِحْفِصْ
71,دسع,دَسَعَ,دسع,1,دَسَعَ,يَدْسِعُ,اِدْسِعْ
72,حشم,حَشَمَ,حشم,1,حَشَمَ,يَحْشِمُ,اِحْشِمْ
73,مهن,مَهَنَ,مهن,1,مَهَنَ,يَمْهِنُ,اِمْهِنْ
74,حفر,حَفَرَ,حفر,1,حَفَرَ,يَحْفِرُ,اِحْفِرْ
75,كسح,كَسَحَ,كسح,1,كَسَحَ,يَكْسِحُ,اِكْسِحْ
76,خمر,خَمِرَ,خمر,1,خَمِرَ,يَخْمِرُ,اِخْمِرْ
77,شبح,شَبَحَ,شبح,1,شَبَحَ,يَشْبِحُ,اِشْبِحْ
78,حطم,حَطَمَ,حطم,1,حَطَمَ,يَحْطِمُ,اِحْطِمْ
79,نزق,نَزِقَ,نزق,1,نَزِقَ,يَنْزِقُ,اِنْزِقْ
80,خبل,خَبِلَ,خبل,1,خَبِلَ,يَخْبِلُ,اِخْبِلْ
81,سلط,سَلِطَ,سلط,1,سَلِطَ,يَسْلِطُ,اِسْلِطْ
82,برم,بَرِمَ,برم,1,بَرِمَ,يَبْرِمُ,اِبْرِمْ
83,بصر,بَصِرَ,بصر,1,بَصِرَ,يَبْصِرُ,اِبْصِرْ
84,غفر,غَفَرَ,غفر,1,غَفَرَ,يَغْفِرُ,اِغْفِرْ
85,جرس,جَرَسَ,جرس,1,جَرَسَ,يَجْرِسُ,اِجْرِسْ
86,بسم,بَسَمَ,بسم,1,بَسَمَ,يَبْسِمُ,اِبْسِمْ
87,عرك,عَرِكَ,عرك,1,عَرِكَ,يَعْرِكُ,اِعْرِكْ
88,خلق,خَلِقَ,خلق,1,خَلِقَ,يَخْلِقُ,اِخْلِقْ
89,صلع,صَلِعَ,صلع,1,صَلِعَ,يَصْلِعُ,اِصْلِعْ
90,زهر,زَهَرَ,زهر,1,زَهَرَ,يَزْهِرُ,اِزْهِرْ
91,تفل,تَفَلَ,تفل,1,تَفَلَ,يَتْفِلُ,اِتْفِلْ
92,نكز,نَكِزَ,نكز,1,نَكِزَ,يَنْكِزُ,اِنْكِزْ
93,بطن,بَطِنَ,بطن,1,بَطِنَ,يَبْطِنُ,اِبْطِنْ
94,سكع,سَكَعَ,سكع,1,سَكَعَ,يَسْكِعُ,اِسْكِعْ
95,بطح,بَطَحَ,بطح,1,بَطَحَ,يَبْطِحُ,اِبْطِحْ
96,خنف,خَنَفَ,خنف,1,خَنَفَ,يَخْنِفُ,اِخْنِفْ
97,غدق,غَدَقَ,غدق,1,غَدَقَ,يَغْدِقُ,اِغْدِقْ
98,جزل,جَزَلَ,جزل,1,جَزَلَ,يَجْزِلُ,اِجْزِلْ
99,جلط,جَلَطَ,جلط,1,جَلَطَ,يَجْلِطُ,اِجْلِطْ
100,مسك,مَسَكَ,مسك,1,مَسَكَ,يَمْسِكُ,اِمْسِكْ
101,جرج,جَرِجَ,جرج,1,جَرِجَ,يَجْرِجُ,اِجْرِجْ
102,دلف,دَلَفَ,دلف,1,دَلَفَ,يَدْلِفُ,اِدْلِفْ
103,عجف,عَجِفَ,عجف,1,عَجِفَ,يَعْجِفُ,اِعْجِفْ
104,ملد,مَلِدَ,ملد,1,مَلِدَ,يَمْلِدُ,اِمْلِدْ
105,نهر,نَهِرَ,نهر,1,نَهِرَ,يَنْهِرُ,اِنْهِرْ
106,جرذ,جَرِذَ,جرذ,1,جَرِذَ,يَجْرِذُ,اِجْرِذْ
107,جرع,جَرَعَ,جرع,1,جَرَعَ,يَجْرِعُ,اِجْرِعْ
108,جرح,جَرَحَ,جرح,1,جَرَحَ,يَجْرِحُ,اِجْرِحْ
109,سعر,سَعَرَ,سعر,1,سَعَرَ,يَسْعِرُ,اِسْعِرْ
110,تفه,تَفِهَ,تفه,1,تَفِهَ,يَتْفِهُ,اِتْفِهْ
111,رسل,رَسِلَ,رسل,1,رَسِلَ,يَرْسِلُ,اِرْسِلْ
112,هدل,هَدِلَ,هدل,1,هَدِلَ,يَهْدِلُ,اِهْدِلْ
113,نزل,نَزِلَ,نزل,1,نَزِلَ,يَنْزِلُ,اِنْزِلْ
114,خضم,خَضِمَ,خضم,1,خَضِمَ,يَخْضِمُ,اِخْضِمْ
115,شبم,شَبِمَ,شبم,1,شَبِمَ,يَشْبِمُ,اِشْبِمْ
116,تلف,تَلِفَ,تلف,1,تَلِفَ,يَتْلِفُ,اِتْلِفْ
117,حطب,حَطِبَ,حطب,1,حَطِبَ,يَحْطِبُ,اِحْطِبْ
118,ترف,تَرِفَ,ترف,1,تَرِفَ,يَتْرِفُ,اِتْرِفْ
119,كحل,كَحِلَ,كحل,1,كَحِلَ,يَكْحِلُ,اِكْحِلْ
120,بقر,بَقَرَ,بقر,1,بَقَرَ,يَبْقِرُ,اِبْقِرْ
121,هدف,هَدَفَ,هدف,1,هَدَفَ,يَهْدِفُ,اِهْدِفْ
122,بعر,بَعَرَ,بعر,1,بَعَرَ,يَبْعِرُ,اِبْعِرْ
